node_id,feature_id,value
1447,11209,1.0
1447,966,1.0
1447,5663,1.0
1447,2093,1.0
1447,5221,1.0
1447,8578,1.0
1447,6360,1.0
1447,9801,1.0
1447,2342,1.0
1447,12656,1.0
1447,9125,1.0
1447,11779,1.0
1447,1376,1.0
1447,3383,1.0
1447,10668,1.0
1447,734,1.0
1447,1853,1.0
1447,11616,1.0
1447,5466,1.0
1447,11094,1.0
1447,1930,1.0
1447,2841,1.0
1447,10697,1.0
1447,9756,1.0
1447,9318,1.0
1447,8209,1.0
1447,7347,1.0
1447,9355,1.0
1447,8587,1.0
1447,3577,1.0
1447,1232,1.0
1447,7800,1.0
1447,1113,1.0
1447,12438,1.0
1447,11416,1.0
1447,3020,1.0
1447,11739,1.0
1447,5768,1.0
1447,4421,1.0
1447,10217,1.0
1447,4103,1.0
1447,6009,1.0
1447,9769,1.0
1447,8436,1.0
1447,8684,1.0
1447,2576,1.0
1447,5631,1.0
1447,7122,1.0
1447,219,1.0
1447,785,1.0
1447,8960,1.0
1447,5656,1.0
1447,3926,1.0
1447,5919,1.0
1447,737,1.0
1447,8151,1.0
1447,8160,1.0
1447,7808,1.0
1447,1340,1.0
1447,3337,1.0
1447,6513,1.0
1447,12483,1.0
1447,101,1.0
1447,9079,1.0
1447,7855,1.0
1447,11051,1.0
1447,1865,1.0
1447,7701,1.0
1447,5360,1.0
1447,3957,1.0
1447,3615,1.0
1447,1339,1.0
1447,5398,1.0
1447,7742,1.0
1447,7298,1.0
1447,658,1.0
1447,9605,1.0
1447,11612,1.0
1447,7538,1.0
1447,1404,1.0
1447,5683,1.0
1447,11532,1.0
1447,6693,1.0
514,3507,1.0
514,1661,1.0
514,11522,1.0
514,7074,1.0
514,6749,1.0
514,12725,1.0
514,10287,1.0
514,3652,1.0
514,5397,1.0
514,12095,1.0
514,1139,1.0
514,2663,1.0
514,3062,1.0
514,7993,1.0
514,12663,1.0
514,7078,1.0
514,8191,1.0
514,7058,1.0
514,11441,1.0
514,631,1.0
514,10128,1.0
514,10091,1.0
514,852,1.0
514,12676,1.0
514,2336,1.0
514,5794,1.0
514,653,1.0
514,6427,1.0
514,1196,1.0
514,10972,1.0
514,2838,1.0
514,12529,1.0
514,8647,1.0
514,7629,1.0
514,11918,1.0
514,2837,1.0
514,3610,1.0
514,7319,1.0
514,2281,1.0
514,1369,1.0
514,7830,1.0
514,3290,1.0
514,10810,1.0
514,3244,1.0
514,12869,1.0
514,11391,1.0
514,11364,1.0
514,699,1.0
514,3272,1.0
514,1295,1.0
514,7586,1.0
514,5894,1.0
514,5698,1.0
514,10013,1.0
514,4232,1.0
514,6656,1.0
514,9739,1.0
514,8907,1.0
514,8465,1.0
514,5122,1.0
514,5016,1.0
514,4819,1.0
514,2247,1.0
514,3645,1.0
514,0,1.0
514,12569,1.0
514,1235,1.0
514,4864,1.0
514,10969,1.0
514,6987,1.0
514,3867,1.0
514,11540,1.0
514,1167,1.0
514,128,1.0
514,8059,1.0
514,442,1.0
514,8458,1.0
514,11999,1.0
514,7374,1.0
514,911,1.0
514,11673,1.0
514,9840,1.0
514,5192,1.0
514,12511,1.0
514,176,1.0
514,1970,1.0
514,3333,1.0
514,8765,1.0
514,2179,1.0
514,7245,1.0
514,972,1.0
514,3910,1.0
514,6867,1.0
514,6659,1.0
514,341,1.0
514,2505,1.0
514,1991,1.0
514,1352,1.0
514,11899,1.0
514,8140,1.0
514,7740,1.0
514,12711,1.0
514,4884,1.0
514,10470,1.0
514,7678,1.0
514,12500,1.0
514,3786,1.0
514,696,1.0
514,3582,1.0
514,8594,1.0
514,2176,1.0
514,12804,1.0
514,13161,1.0
514,10569,1.0
514,4164,1.0
514,8257,1.0
514,2547,1.0
514,2264,1.0
514,5744,1.0
514,11480,1.0
514,9132,1.0
514,678,1.0
514,8954,1.0
514,9141,1.0
514,8174,1.0
514,11817,1.0
514,42,1.0
514,6679,1.0
